"Subscription";"StorageAccount";"ResourceGroup";"company";"Type";"AccessTier";"SKU";"Location";"AllowPermDelete";"DeleteRetentionPolicy";"RetentionPolicyDays";"RestorePolicy";"RestorePolicyDays";"ChangedFeedEnabled";"VersioningEnabled";"PublicNetAccess";"BlobPublicAccess";"AllowSharedKey";"AllowCrossTenant"
"Hogia Star - QA Environment";"accdocintqa";"HBP-STORAGE";"Hogia Business Products AB";"Storage";;"Standard_LRS";"westeurope";"False";"False";;;;;;;"True";;
"Hogia Star - QA Environment";"accinboxdocstorageqa";"accountinginboxserviceqa";"Hogia Business Products AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;"False";;"False";"False";;"True";"True";"True"
"Hogia Star - QA Environment";"actionsenderfunctionsqa";"HPTS-ORION";"Hogia Public Transport Systems AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;;;;;;"True";;
"Hogia Star - QA Environment";"admincenterstorageqa";"admincenterqa";;"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;;;;;;"True";"True";
"Hogia Star - QA Environment";"annualreportstoreqa";"HBP-STORAGE";"Hogia Business Products AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"True";"7";"False";;"False";"False";;"True";"True";
"Hogia Star - QA Environment";"authorizationserviceqa";"ISP";"Hogia Infrastructure Products AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;;;;;;"True";;
"Hogia Star - QA Environment";"beastpullingfunctionqa";"APP-HLS";"Hogia Logistics Systems AB";"Storage";;"Standard_LRS";"westeurope";"False";"False";;;;;;;"True";;
"Hogia Star - QA Environment";"bookaccclassqa";"HBP-STORAGE";"Hogia Business Products AB";"Storage";;"Standard_LRS";"westeurope";"False";"False";;;;;;;"True";;
"Hogia Star - QA Environment";"bureaufilestorageqa";"ROR-STORAGE";;"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;;;;;;"True";;
"Hogia Star - QA Environment";"chattdocumentmigrateqa";"ROR-APP";"Hogia Fastighetssystem AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"True";"7";"False";;"False";"False";;"True";"True";
"Hogia Star - QA Environment";"companyinfoqa";"companyinfoqa";"Hogia Connect AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;"False";;"False";"False";"Enabled";"True";"True";"True"
"Hogia Star - QA Environment";"connectedvehicleqa";"connectedvehicleqa";"Hogia Logistics Systems AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;;;;;;"True";"True";
"Hogia Star - QA Environment";"creditsafefunctionsqa";"companyinfoqa";"Hogia Connect AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;"False";;"False";"False";"Enabled";"True";"True";"True"
"Hogia Star - QA Environment";"customerinvoicestoreqa";"HBP-STORAGE";"Hogia Business Products AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;;;;;;"True";;
"Hogia Star - QA Environment";"customermigrationstoreqa";"ISP-APP";"Hogia Infrastructure Products AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;"False";;"False";"False";"Enabled";"True";"True";"True"
"Hogia Star - QA Environment";"dpsfuncteststorageqa";"dpsfunctionsqa";"Hogia Fastighetssystem AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;"False";;"False";"False";;"True";"True";"True"
"Hogia Star - QA Environment";"einvoicebaswareqa";"HBP-EFH-APP";"Hogia Business Products AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"True";"7";"False";;"False";"False";"Enabled";"True";"True";"True"
"Hogia Star - QA Environment";"einvoicecustomerinvqa";"invoicedistributionserviceqa";"Hogia Business Products AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;"False";;"False";"False";;"True";"True";"True"
"Hogia Star - QA Environment";"einvoicepeppolqa";"HBP-EFH-APP";"Hogia Business Products AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;"False";;"False";"False";"Enabled";"True";"True";"True"
"Hogia Star - QA Environment";"einvoicesupplierinvqa";"invoicedistributionserviceqa";"Hogia Business Products AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;"False";;"False";"False";"Enabled";"True";"True";"True"
"Hogia Star - QA Environment";"einvoicetoazurefuncqa";"invoicedistributionserviceqa";"Hogia Business Products AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;"False";;"False";"False";;"True";"True";"True"
"Hogia Star - QA Environment";"einvsupinfuncstorageqa";"einvoicesupplierinvoicefunctionsqa";"Hogia Business Products AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;"False";;"False";"False";;"True";"True";"True"
"Hogia Star - QA Environment";"ekonomistarapiqa";"ekonomistarapiqa";;"BlobStorage";"Cool";"Standard_LRS";"westeurope";"False";"False";;;;;;;"True";"True";
"Hogia Star - QA Environment";"eservicesregfunctionsqa";"eservicesregistrationfunctionsqa";"Hogia Business Products AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"True";"7";"False";;"False";"False";"Enabled";"True";"True";
"Hogia Star - QA Environment";"fintransmatchqa";"HBP-STORAGE";"Hogia Business Products AB";"Storage";;"Standard_LRS";"westeurope";"False";"False";;;;;;;"True";;
"Hogia Star - QA Environment";"hbpstorageqa";"APP-HBP";"Hogia Business Products AB";"Storage";;"Standard_LRS";"westeurope";"False";"False";;;;;;;"True";;
"Hogia Star - QA Environment";"hlpfileserviceqa";"SA-VOConnect";"Hogia HR Systems AB";"BlobStorage";"Hot";"Standard_LRS";"westeurope";"False";"False";;;;;;;"True";;
"Hogia Star - QA Environment";"hlsstarsyncmanagerqa";"HLS-STORAGE";"Hogia Logistics Systems AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;;;;;;"True";;
"Hogia Star - QA Environment";"hogiastarqastorage";"HS-STORAGE";"Hogia Infrastructure Services AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;;;;;;"True";;
"Hogia Star - QA Environment";"hptsmvjfunctionsqa";"monitoredvehiclejourneysfunctionsqa";"Hogia Public Transport Systems AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;"False";;"False";"False";;"True";"True";"True"
"Hogia Star - QA Environment";"hptstransferstorageqa";"transfertocoldstoragefunctionsqa";"Hogia Public Transport Systems AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;"False";;"False";"False";;"True";"True";"True"
"Hogia Star - QA Environment";"hrdocumentserviceqa";"hrdocumentserviceqa";"Hogia HR Systems AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"True";"7";"False";;"False";"False";"Enabled";"True";"True";"True"
"Hogia Star - QA Environment";"hrexcelfunctionstoreqa";"HRS-STORAGE";"Hogia HR Systems AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"True";"7";"False";;"False";"False";;"True";"True";
"Hogia Star - QA Environment";"idworkerqa";"idworkerqa";"Hogia Infrastructure Products AB";"Storage";;"Standard_LRS";"westeurope";"False";"False";;;;;;;"True";;
"Hogia Star - QA Environment";"lassbotestarbicep2qa";"lassbotestarbicep2qa";"Hogia Infrastructure Products AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;;;;;;"True";;
"Hogia Star - QA Environment";"lassbotestarbicep3qa";"lassbotestarbicep3qa";"Hogia Infrastructure Products AB";"StorageV2";"Hot";"Standard_LRS";"westeurope";"False";"False";;;;;;;"True";;
"Hogia Star - QA Environment";"licensereportserviceqa";"ISP-APP";"Hogia Infrastructure Products AB";"Storage";;"Standard_LRS";"westeurope";"False";"False";;;;;;;"True";;
